tdate,dis_name,positive_cases
2020-06-26,Noakhali,31
2020-06-26,Rangamati,7
2020-06-26,Dhaka,704
2020-06-26,Faridpur,147
2020-06-26,Gazipur,30
2020-06-26,Gopalganj,35
2020-06-26,Kishoreganj,22
2020-06-26,Madaripur,3
2020-06-26,Manikganj,11
2020-06-26,Munshiganj,26
2020-06-26,Narayanganj,73
2020-06-26,Narsingdi,8
2020-06-26,Rajbari,31
2020-06-26,Shariatpur,1
2020-06-26,Tangail,8
2020-06-26,Bagerhat,6
2020-06-26,Chuadanga,8
2020-06-26,Jessore,81
2020-06-26,Jhenaidah,6
2020-06-26,Khulna,135
2020-06-26,Kushtia,103
2020-06-26,Magura,2
2020-06-26,Narail,43
2020-06-26,Satkhira,17
2020-06-26,Jamalpur,5
2020-06-26,Mymensingh,4
2020-06-26,Netrakona,4
2020-06-26,Sherpur,2
2020-06-26,Bogra,31
2020-06-26,Naogaon,3
2020-06-26,Natore,1
2020-06-26,Nawabganj,4
2020-06-26,Pabna,31
2020-06-26,Rajshahi,18
2020-06-26,Sirajganj,3
2020-06-26,Dinajpur,3
2020-06-26,Gaibandha,1
2020-06-26,Rangpur,8
2020-06-26,Thakurgaon,2
2020-06-26,Habiganj,44
2020-06-26,Maulvibazar,34
2020-06-26,Sunamganj,61
2020-06-26,Sylhet,99
2020-06-25,Barguna,2
2020-06-25,Barisal,5
2020-06-25,Bhola,19
2020-06-25,Jhalokati,2
2020-06-25,Patuakhali,12
2020-06-25,Pirojpur,9
2020-06-25,Bandarban,36
2020-06-25,Brahamanbaria,2
2020-06-25,Chandpur,30
2020-06-25,Chittagong,164
2020-06-25,Comilla,92
2020-06-25,Cox's Bazar,173
2020-06-25,Feni,16
2020-06-25,Khagrachhari,3
2020-06-25,Lakshmipur,6
2020-06-25,Noakhali,15
2020-06-25,Rangamati,10
2020-06-25,Dhaka,670
2020-06-25,Faridpur,1
2020-06-25,Gazipur,13
2020-06-25,Gopalganj,1
2020-06-25,Kishoreganj,1
2020-06-25,Manikganj,28
2020-06-25,Munshiganj,7
2020-06-25,Narayanganj,56
2020-06-25,Narsingdi,3
2020-06-25,Rajbari,32
2020-06-25,Shariatpur,1
2020-06-25,Tangail,8
2020-06-25,Bagerhat,1
2020-06-25,Jhenaidah,6
2020-06-25,Khulna,5
2020-06-25,Kushtia,59
2020-06-25,Magura,1
2020-06-25,Meherpur,2
2020-06-25,Narail,1
2020-06-25,Satkhira,2
2020-06-25,Jamalpur,7
2020-06-25,Mymensingh,7
2020-06-25,Netrakona,4
2020-06-25,Sherpur,9
2020-06-25,Bogra,90
2020-06-25,Natore,7
2020-06-25,Nawabganj,2
2020-06-25,Pabna,34
2020-06-25,Rajshahi,22
2020-06-25,Sirajganj,11
2020-06-25,Dinajpur,1
2020-06-25,Gaibandha,1
2020-06-25,Kurigram,1
2020-06-25,Rangpur,4
2020-06-25,Thakurgaon,1
2020-06-25,Habiganj,31
2020-06-25,Maulvibazar,25
2020-06-25,Sunamganj,10
2020-06-25,Sylhet,104
2020-06-24, ,2
2020-06-24,Barisal,7
2020-06-24,Bhola,3
2020-06-24,Patuakhali,1
2020-06-24,Pirojpur,3
2020-06-24,Bandarban,37
2020-06-24,Brahamanbaria,47
2020-06-24,Chandpur,50
2020-06-24,Chittagong,231
2020-06-24,Comilla,82
2020-06-24,Cox's Bazar,193
2020-06-24,Feni,71
2020-06-24,Lakshmipur,6
2020-06-24,Noakhali,23
2020-06-24,Rangamati,3
2020-06-24,Dhaka,802
2020-06-24,Faridpur,60
2020-06-24,Gazipur,51
2020-06-24,Gopalganj,20
2020-06-24,Kishoreganj,11
2020-06-24,Madaripur,5
2020-06-24,Munshiganj,19
2020-06-24,Narayanganj,142
2020-06-24,Narsingdi,6
2020-06-24,Rajbari,13
2020-06-24,Shariatpur,2
2020-06-24,Tangail,34
2020-06-24,Bagerhat,9
2020-06-24,Chuadanga,4
2020-06-24,Jessore,27
2020-06-24,Jhenaidah,5
2020-06-24,Khulna,201
2020-06-24,Kushtia,28
2020-06-24,Magura,4
2020-06-24,Meherpur,6
2020-06-24,Narail,14
